sku_id,product_name,manufacturer,category,voltage_rating,conductor_material,core_count,size_sqmm,insulation_type,sheath_type,temperature_rating,fire_resistance,armouring,standards_complied,price_per_unit,lead_time_days
SKU_101,11kV XLPE Al Cable,Polycab,Power Cable,11kV,Aluminium,3,240,XLPE,PVC,90C,FRLS,Yes,IS 7098,1250,14
SKU_102,33kV XLPE Cu Cable,KEI,Power Cable,33kV,Copper,3,185,XLPE,PVC,90C,FRLS,Yes,IS 7098,2850,21
SKU_103,12C Control Cable,Finolex,Control Cable,1.1kV,Copper,12,2.5,PVC,PVC,70C,Non-FR,No,IS 1554,180,10
SKU_104,FRLS Instrumentation Cable,Polycab,Instrumentation Cable,1.1kV,Copper,4,1.5,XLPE,PVC,70C,FRLS,No,IEC 60502,210,12
SKU_105,66kV HT XLPE Cable,KEI,Power Cable,66kV,Aluminium,3,300,XLPE,HDPE,90C,Non-FR,Yes,IEC 60840,4200,30
SKU_106,Flexible Copper Cable,Havells,Flexible Cable,440V,Copper,4,6,PVC,PVC,70C,Non-FR,No,IS 694,95,7
SKU_107,Fire Survival Power Cable,Polycab,Power Cable,1.1kV,Copper,2,10,XLPE,LSZH,90C,FR,Yes,IEC 60331,450,18
SKU_108,Aluminium Control Cable,RR Kabel,Control Cable,1.1kV,Aluminium,8,4,PVC,PVC,70C,Non-FR,No,IS 1554,160,11
SKU_109,22kV XLPE Power Cable,KEI,Power Cable,22kV,Aluminium,3,185,XLPE,PVC,90C,FRLS,Yes,IS 7098,2100,20
SKU_110,Instrumentation Multi Core Cable,Finolex,Instrumentation Cable,500V,Copper,6,1.5,PVC,PVC,70C,Non-FR,No,IEC 60502,175,9
SKU_111,132kV Single Core XLPE,Polycab,Power Cable,132kV,Copper,1,630,XLPE,HDPE,90C,Non-FR,Yes,IEC 60840,9500,45
SKU_112,Flexible PVC Cable,Havells,Flexible Cable,440V,Copper,3,2.5,PVC,PVC,70C,Non-FR,No,IS 694,65,6
SKU_113,Fire Survival LSZH Cable,KEI,Power Cable,1.1kV,Aluminium,4,16,XLPE,LSZH,90C,FR,Yes,IEC 60331,520,16
SKU_114,FRLS Control Cable,RR Kabel,Control Cable,1.1kV,Copper,10,1.5,PVC,PVC,70C,FRLS,No,IS 1554,190,13
SKU_115,11kV XLPE Al Cable (120sqmm),Polycab,Power Cable,11kV,Aluminium,3,120,XLPE,PVC,90C,Non-FR,Yes,IS 7098,980,14
SKU_116,10C Aluminium Control Cable,Universal Cables,Control Cable,600V,Aluminium,10,4,PVC,HDPE,70C,Non-FR,Yes,IS 1554,255,7
SKU_117,FRLS 4C Instrumentation Cable,Apar Industries,Instrumentation Cable,1.1kV,Aluminium,4,1.5,PVC,PVC,70C,FRLS,No,IEC 60502,172,12
SKU_118,7C Aluminium Control Cable,KEI,Control Cable,600V,Aluminium,7,1.5,PVC,PVC,70C,FR,No,IS 1554,314,9
SKU_119,4C Flexible Copper Cable,Gloster,Flexible Cable,1.1kV,Copper,4,4,PVC,PVC,70C,FR,No,IS 694,136,7
SKU_120,FRLS 16C Instrumentation Cable,Gloster,Instrumentation Cable,600V,Aluminium,16,2.5,PVC,HDPE,70C,FRLS,Yes,IEC 60502,236,17
